Worked_fields,Academic_fields,Worked_industry,Invested_time,Recomended_Language
Game_development,Math,Transport,5,C#
Software_Developer,biology,Electronics,3,python
Data_science,chemistry,Agriculture,2,Matlab
Mobile_app_development,physics,Food,4,TypeScript_HTML_CSS
Data_analysis,History,Pharmaceutical,5,Python
Front_end_web_development,art,Education,5,TypeScript_HTML_CSS
Back_end_web_development,CS,Energy,3,Rust
Web_design,Business,Media,2,Ruby
Machine_learning,Math,Healthcare,4,Keras_python
Cloud_computing,physics,Computer,5,Go
User_experience_design,Social_Sciences,Entertainment,1,JavaScript_TypeScript_HTML_CSS
Software_Architect,physics,Construction,2,Scala
Computer_network,History,Telecommunication,4,Perl
Network_administrator,Communication,Manufacturing,5,Kotlin
User_interface_design,Psychology,Music,1,JavaScript_HTML_CSS
Information_technology_management,None,Aerospace,2,Java
Game_development,Math,Entertainment,5,C_C++
Software_Developer,biology,Electronics,3,Java
Data_science,Math,Agriculture,2,python
Mobile_app_development,chemistry,Hospitality,4,Swift
Data_analysis,Math,Pharmaceutical,5,R
Front_end_web_development,literature,Education,5,Javascript
Back_end_web_development,art,Mining,3,python_NoSQL
Web_design,art,Music,2,Ruby
Machine_learning,Math,Healthcare,4,PyTorch_Scikitearn_python
Cloud_computing,physics,Computer,5,Go
User_experience_design,linguistics,Entertainment,1,TypeScript_HTML_CSS
Software_Architect,physics,Construction,2,Scala
Computer_network,History,Telecommunication,4,Perl
Network_administrator,art,Manufacturing,5,Kotlin
User_interface_design,art,Media,1,JavaScript_HTML_CSS
Information_technology_management,None,None,2,Java
Game_development,Math,Transport,5,C#
Software_Developer,biology,Electronics,3,python
Data_science,chemistry,Agriculture,2,Matlab
Mobile_app_development,physics,Food,4,TypeScript_HTML_CSS
Data_analysis,Math,Pharmaceutical,5,Python
Front_end_web_development,art,Education,5,TypeScript_HTML_CSS
Back_end_web_development,CS,Energy,3,Rust
Web_design,Business,Media,2,Ruby
Machine_learning,Math,Healthcare,4,Keras_python
Cloud_computing,physics,Computer,5,Go
User_experience_design,Social_Sciences,Entertainment,1,JavaScript_TypeScript_HTML_CSS
Software_Architect,physics,Construction,2,Scala
Computer_network,History,Telecommunication,4,Perl
Network_administrator,Communication,Manufacturing,5,Kotlin
User_interface_design,Psychology,Music,1,JavaScript_HTML_CSS
Information_technology_management,None,Aerospace,2,Java
Game_development,Math,Entertainment,5,C_C++
Software_Developer,biology,Electronics,3,Java
Data_science,Math,Agriculture,2,python
Mobile_app_development,chemistry,Hospitality,4,Swift
Data_analysis,Math,Pharmaceutical,5,R
Front_end_web_development,literature,Education,5,Javascript
Back_end_web_development,art,Mining,3,python_NoSQL
Web_design,art,Music,2,Ruby
Machine_learning,Math,Healthcare,4,PyTorch_Scikitearn_python
Cloud_computing,physics,Computer,5,Go
User_experience_design,linguistics,Entertainment,1,TypeScript_HTML_CSS
Software_Architect,physics,Construction,2,Scala
Computer_network,History,Telecommunication,4,Perl
Network_administrator,art,Manufacturing,5,Kotlin
User_interface_design,art,Media,1,JavaScript_HTML_CSS
Information_technology_management,None,None,2,Java
